Date,calories,steps,distance,floors,minutesSedentary,minutesLightlyActive,minutesFairlyActive,minutesVeryActive,activityCalories
2023-05-01,1793,9424,6.06905,45,1204,236,0,0,742
2023-05-02,1752,6931,4.46356,25,1202,238,0,0,694
2023-05-03,1824,11370,7.322279999999999,21,1207,218,11,4,786
2023-05-04,1910,9781,6.29896,20,1139,283,17,1,905
2023-05-05,2009,12924,8.259879999999999,36,1058,230,48,16,1007
2023-05-06,1344,1740,1.10059,4,1393,28,14,5,182
2023-05-07,1244,65,0.04186,0,1424,16,0,0,59
2023-05-08,1195,0,0.0,0,1440,0,0,0,0
2023-05-09,1197,9,0.00579,0,1439,1,0,0,2
2023-05-10,1195,0,0.0,0,1440,0,0,0,0
2023-05-11,1522,5857,3.99136,28,1162,67,7,27,384
2023-05-12,1298,551,0.31878,0,1028,44,0,0,105
2023-05-13,1600,7685,4.98075,17,1309,98,15,18,454
2023-05-14,1196,0,0.0,0,1440,0,0,0,0
2023-05-15,1195,0,0.0,0,1440,0,0,0,0
2023-05-16,1459,4872,3.0860399999999997,21,1350,76,9,5,333
2023-05-17,1262,521,0.33552,0,1406,34,0,0,79
2023-05-18,1223,0,0.0,0,1151,9,0,0,35
2023-05-19,1208,0,0.0,0,1338,3,0,0,16
2023-05-20,1205,58,0.03735,0,1434,6,0,0,15
2023-05-21,1195,0,0.0,0,1440,0,0,0,0
2023-05-22,1530,6441,4.20716,29,1158,58,19,26,414
2023-05-23,1430,4009,2.65347,38,1358,82,0,0,286
2023-05-24,1574,7585,5.10762,37,1318,87,13,22,462
2023-05-25,1571,7192,4.582059999999999,34,1315,92,24,9,474
2023-05-26,1195,0,0.0,0,1440,0,0,0,0
2023-05-27,1536,5070,3.38117,5,1085,79,10,25,405
2023-05-28,1195,0,0.0,0,1440,0,0,0,0
2023-05-29,1558,6650,4.40727,43,1310,104,12,14,454
2023-05-30,1432,4541,2.96425,20,1357,71,6,6,288
2023-05-31,1195,0,0.0,0,1440,0,0,0,0
