dateTime,value
2023-04-17,1195
2023-04-18,1195
2023-04-19,1225
2023-04-20,1234
2023-04-21,1195
2023-04-22,1836
2023-04-23,1613
2023-04-24,1195
2023-04-25,1764
2023-04-26,1591
2023-04-27,1900
2023-04-28,1979
2023-04-29,1988
2023-04-30,1845
2023-05-01,1793
2023-05-02,1752
2023-05-03,1824
2023-05-04,1910
2023-05-05,2009
2023-05-06,1344
2023-05-07,1244
2023-05-08,1195
2023-05-09,1197
2023-05-10,1195
2023-05-11,1522
2023-05-12,1298
2023-05-13,1600
2023-05-14,1196
2023-05-15,1195
2023-05-16,1459
2023-05-17,1262
2023-05-18,1223
2023-05-19,1208
2023-05-20,1205
2023-05-21,1195
2023-05-22,1530
2023-05-23,1430
2023-05-24,1574
2023-05-25,1571
2023-05-26,1195
2023-05-27,1536
